,Tweet,label
0,thank,0
1,well gwen judy thank much hosting event pb thank nine month ago campaign began began political organization money much name recognition outside state vermont lot happened nine month happened think american people responded series basic truth today campaign finance system corrupt undermining american democracy allows wall street billionaire pour huge sum money political process elect candidate choice aligned corrupt campaign finance system rigged economy economy ordinary american working longer hour low wager worried death future kid yet seeing almost new income new wealth going top percent addition american people looking around see broken criminal justice system see people jail united state america country earth million spending billion year locking fellow american see kid getting arrested marijuana getting prison getting criminal record see executive wall street pay billion dollar settlement get prosecution criminal record think campaign indicating american people tired establishment politics tired establishment economics want political revolution million american stand come together let trump world divide u say know great country need government represents u handful wealthy campaign contributor thank,0
2,running president knock barrier holding american back rebuild ladder opportunity give every american chance advance especially left left behind know lot american angry economy good cause american raise year enough good paying job especially young people yes economy rigged favor top agree get unaccountable money political system much ensure wall street never wreck main street want go want tackle barrier stand way many american right african american face discrimination job market education housing criminal justice system hardworking immigrant family living fear brought shadow child better future guaranteeing woman work finally get pay equal pay deserve think america live potential make sure every american chance live potential mission president think together make progress,0
3,well put context judy think understand last year country massive transfer wealth going hand working family top one tenth whose percentage wealth doubled word rich getting richer almost everybody going getting poorer believe united state fact join rest industrialized world guarantee healthcare people medicare single payer proposal save average middle class family year believe year look term public education college part public education making public college university tuition free believe real unemployment close infrastructure road bridge water system flint michigan come mind waste water plant rail airport many place disintegrating yeah create million job rebuilding infrastructure cost trillion dollar,0
4,course limit today massive level income wealth inequality middle class disappearing highest rate child poverty almost major country earth yes view government democratic society moral responsibility play vital role making sure people decent standard living,0
5,judy think best analysis seen based senator sander plan would probably increase size federal government concerning looking plan let take healthcare example last week cnn town hall senator told questioner questioner would spend dollar tax get dollar healthcare every progressive economist analyzed say number add promise kept really important getting rest country u held account explaining proposing especially healthcare math people life level american people make sure get quality affordable healthcare,0
6,well let u level american people secretary clinton going around country saying bernie sander want dismantle affordable care act people going lose medicaid going lose chip program fought entire life make sure healthcare right people going dismantle everything truth twenty nine million people health insurance today america pay far highest price world prescription drug one five american even afford prescription doctor writing million people high deductible co payment said let repeat know economist secretary clinton talking said let repeat yes middle family right middle economy would pay dollar tax get reduction healthcare cost dollar view healthcare right people privilege fight,0
7,say share goal universal health care coverage know called obamacare called hillarycare took drug company took insurance company try get u universal health care coverage,0
8,staunch supporter president obama principal accomplishment namely affordable care act know hard get done percent coverage get remaining set forth specific plan get cost especially prescription drug cost difficult way argue goal share think american people deserve know specifically would work medicare longer affordable care act affordable care act know well based insurance system based exchange based subsidy system child health insurance program helped create cover million kid also different kind program medicare single payer need level people end process proposing based every analysis find people sympathetic goal number add many people actually worse right,0
9,absolutely inaccurate look reality folk one major country earth guarantee health care people one major country united state end spending almost three time per caput k guaranteeing health care people percent france guaranteeing health care people far canadian neighbor guarantee health care people please tell country courage take drug company courage take insurance company medical equipment supplier yes guarantee health care people much cost effective way,0
10,well let let say,0
11,trench fighting believe strongly guarantee health care believe path last thing need throw country contentious debate health care england france inherited system set world war ii million american get health insurance right employer tried president obama succeeded build health care system get u percent coverage get percent way far prefer chance successful trying start gridlocking system trying get zero percent,0
12,absolutely fair necessary american vet proposal ask really hard question think accomplish believe would result average american family case whether health care getting u debt free tuition moving u toward paid family leave specific would raise money much would cost would move agenda forward tried specific answer question proposal vetted feel like level people reason gwen mentioning great deal skepticism federal government aware come right left people side political spectrum special obligation make clear stand think make promise keep think alienate american understanding believing together make real change people life,0
13,put price tag price tag billion year paid said throw u debt believe get money need taxing wealthy closing loophole thing way overdue think white house enough political capital able conscious fact also clear especially young people kind government going cost,0
14,well secretary clinton white house yet let u clear every proposal introduced paid example right america denies infrastructure crumbling road bridge water system wastewater plant denies denies real unemployment today including given looking work working part time close percent denies african american youth unemployment real percent need create job yes away outrageous loophole allow profitable multinational corporation stash billion dollar cayman island bermuda given year pay zero zero federal income tax yes going away use proceeds hundred billion year invest rebuilding infrastructure yes believe result illegal behavior wall street wall street drove country worst economic downturn since great recession great depression yes believe american people bailed wall street yes pay wall street speculation tax make public college university tuition free bailed time help middle class,0
15,know think u share goal trying make college affordable young american set forth compact would debt free tuition differ however couple key point one agreement within system state family student hard get need go senator sander plan really rest making sure governor like scott walker contribute billion first day make college free little skeptical governor actually caring enough higher education make kind commitment like,0
16,brief response,0
17,public education year ago incredibly brave american said know working class kid low income kid work factory farm like rich kid deserve get free education free education extraordinary accomplishment first grade grade world changed many way college degree today equivalent high school degree year ago yes believe talk public education america today rapidly changing world free tuition public college university right american regardless income family,0
18,well first judy spent entire adult life working toward making sure woman empowered make choice even choice vote believe important unleash full potential woman girl society feel strongly agenda record really respond lot specific need woman country face going keep making case going keep making sure everything done everything stand going well known argument anyone making mind support hope end campaign lot supporting working towards,0
